Date,aportes,volumen_util,porcentaje_util
2022-04-09,189.1011,9995.7621,0.58933
2022-04-10,176.5242,10007.2999,0.59001
2022-04-11,148.0954,9977.4759,0.58825
2022-04-12,188.0232,9976.6346,0.5882
2022-04-13,159.3741,9957.9587,0.5871
2022-04-14,116.4762,9912.8832,0.58444
2022-04-15,120.4329,9883.5154,0.58271
2022-04-16,139.8807,9860.3875,0.58134
2022-04-17,162.3871,9867.5415,0.58177
2022-04-18,196.1971,9874.4316,0.58217
2022-04-19,261.3106,9942.2953,0.58617
2022-04-20,290.7916,10040.3539,0.59195
2022-04-21,337.3148,10189.8882,0.60077
2022-04-22,357.2529,10342.0631,0.60974
2022-04-23,332.7696,10450.1713,0.61612
2022-04-24,261.5395,10509.5396,0.61962
2022-04-25,339.0624,10635.1787,0.62702
2022-04-26,227.311,10657.451,0.62834
2022-04-27,288.3511,10729.9087,0.63261
2022-04-28,255.8161,10783.4025,0.63576
2022-04-29,290.9644,10854.0291,0.63993
2022-04-30,194.332,10850.7908,0.63974
2022-05-01,174.2737,10856.1379,0.64005
2022-05-02,187.9293,10859.7043,0.64026
2022-05-03,147.3859,10816.5048,0.63771
2022-05-04,131.2312,10773.0375,0.63515
2022-05-05,210.8063,10815.4946,0.63765
2022-05-06,173.3218,10832.6523,0.63867
2022-05-07,326.6413,11005.5824,0.64886
2022-05-08,257.6662,11102.5679,0.65458
2022-05-09,221.3089,11126.6434,0.656
2022-05-10,199.8365,11347.1556,0.65665
2022-05-11,249.4098,11392.0924,0.65925
2022-05-12,229.6053,11417.3731,0.66072
2022-05-13,228.9722,11457.1071,0.66302
2022-05-14,285.4444,11554.5733,0.66866
2022-05-15,214.1936,11608.1715,0.67176
2022-05-16,267.0671,11679.5832,0.67589
2022-05-17,255.4873,11740.3889,0.67941
2022-05-18,299.1518,11864.1068,0.68657
2022-05-19,338.9462,12008.82,0.69494
2022-05-20,308.1831,12108.9453,0.70074
2022-05-21,256.8701,12153.2115,0.7033
2022-05-22,208.0598,12158.4697,0.7036
2022-05-23,208.7234,12150.9246,0.70317
2022-05-24,201.089,12140.4422,0.70256
2022-05-25,239.3207,12178.3193,0.70475
2022-05-26,206.881,12194.2944,0.70568
2022-05-27,260.7515,12260.7343,0.70952
2022-05-28,189.5752,12252.1806,0.70903
2022-05-29,225.6393,12316.964,0.71278
2022-05-30,265.8614,12402.029,0.7177
2022-05-31,231.9064,12435.8492,0.71966
2022-06-01,228.6018,12464.7966,0.72133
2022-06-02,241.7186,12511.1412,0.72401
2022-06-03,224.1523,12522.1886,0.72465
2022-06-04,249.8163,12555.8161,0.7266
2022-06-05,266.4735,12612.2976,0.72987
2022-06-06,268.9285,12639.082,0.73155
2022-06-07,355.7611,12720.672,0.73628
2022-06-08,294.3069,12744.1099,0.73763
2022-06-09,272.9281,12764.1122,0.73879
2022-06-10,268.3381,12769.6243,0.73911
2022-06-11,380.4072,12909.746,0.74722
2022-06-12,315.042,13002.8952,0.75261
2022-06-13,275.0958,13043.211,0.75495
2022-06-14,303.4371,13140.1422,0.75931
2022-06-15,329.9004,13238.2417,0.76498
2022-06-16,306.9032,13324.0542,0.76994
2022-06-17,230.0271,13323.8663,0.76993
2022-06-18,238.3186,13338.1067,0.77075
2022-06-19,284.2458,13430.6959,0.7761
2022-06-20,239.6143,13463.4751,0.778
2022-06-21,211.2593,13448.2036,0.77711
2022-06-22,214.0318,13462.3613,0.77793
2022-06-23,249.5311,13496.6807,0.77991
2022-06-24,233.0242,13525.0678,0.78155
2022-06-25,280.3219,13621.2056,0.78711
2022-06-26,388.2767,13794.2791,0.79711
2022-06-27,296.2443,13868.6323,0.80141
2022-06-28,373.7558,13998.2286,0.8089
2022-06-29,340.8603,14085.0013,0.81391
2022-06-30,310.7775,14094.8001,0.81448
2022-07-01,274.9605,14085.9752,0.81397
2022-07-02,322.7836,14123.8761,0.81616
2022-07-03,266.6061,14134.3403,0.81676
2022-07-04,389.9802,14267.8322,0.82448
2022-07-05,306.3302,14302.3856,0.82647
2022-07-06,278.858,14338.3263,0.82855
2022-07-07,238.9738,14345.5144,0.82896
2022-07-08,325.8923,14429.9235,0.83384
2022-07-09,246.8699,14404.1726,0.83235
2022-07-10,232.3385,14404.7452,0.83239
2022-07-11,313.1652,14468.1325,0.83623
2022-07-12,234.8404,14463.3965,0.83595
2022-07-13,348.7919,14525.9945,0.83957
2022-07-14,219.4087,14527.1681,0.83964
2022-07-15,185.2863,14485.3124,0.83722
2022-07-16,172.5174,14441.1878,0.83467
2022-07-17,199.034,14484.4186,0.83717
2022-07-18,227.1235,14523.6891,0.83944
2022-07-19,157.3247,14499.288,0.83803
2022-07-20,221.613,14527.419,0.83965
2022-07-21,201.1077,14509.7857,0.83863
2022-07-22,193.9971,14520.5692,0.83926
2022-07-23,227.0669,14555.6987,0.84129
2022-07-24,208.8972,14588.1339,0.84316
2022-07-25,258.1239,14669.6199,0.84583
2022-07-26,267.2137,14711.8759,0.84826
2022-07-27,254.4826,14750.4232,0.85049
2022-07-28,427.8407,14937.1148,0.86125
2022-07-29,332.1926,15013.3566,0.86565
2022-07-30,201.6896,15006.775,0.86527
2022-07-31,233.6753,15005.2409,0.86518
2022-08-01,329.3727,15082.926,0.86966
2022-08-02,385.6799,15173.479,0.87488
2022-08-03,254.2332,15132.2097,0.8725
2022-08-04,236.5737,15121.6906,0.87093
2022-08-05,345.8701,15171.9252,0.87382
2022-08-06,530.4498,15321.6591,0.88244
2022-08-07,259.8695,15259.2332,0.87885
2022-08-08,205.8167,15201.5172,0.87552
2022-08-09,239.1851,15179.8312,0.87427
2022-08-10,240.5084,15168.3279,0.87361
2022-08-11,220.0522,15152.2633,0.87269
2022-08-12,173.5636,15117.1568,0.87066
2022-08-13,204.6768,15101.1821,0.86974
2022-08-14,267.4868,15151.163,0.87262
2022-08-15,291.4237,15203.5689,0.87564
2022-08-16,254.2143,15207.8373,0.87589
2022-08-17,185.7309,15147.5616,0.87242
2022-08-18,162.3407,15084.0846,0.86876
2022-08-19,148.3346,15034.952,0.86593
2022-08-20,209.1711,15020.3006,0.86509
2022-08-21,182.5749,15014.8386,0.86477
2022-08-22,231.1967,15039.3581,0.86618
2022-08-23,160.6334,14989.5866,0.86332
2022-08-24,134.1976,14923.592,0.85952
2022-08-25,127.8967,14861.1814,0.85592
2022-08-26,134.5058,14802.2383,0.85253
2022-08-27,137.2115,14755.2121,0.84982
2022-08-28,185.4834,14779.76,0.85123
2022-08-29,244.4813,14833.7724,0.85434
2022-08-30,141.3213,14767.7157,0.85054
2022-08-31,188.4913,14774.6529,0.85094
2022-09-01,175.5464,14773.2276,0.85086
2022-09-02,191.3178,14769.5992,0.85065
2022-09-03,266.5795,14832.3899,0.85426
